Control_1	Control_2	Control_3	FeD-1	FeD-2	FeD-3	FeE-1	FeE-2	FeE-3
2558007379	186	212	250	305	365	336	200	305	247
2558007380	209	223	378	312	363	452	368	335	250
2558007381	14607	15071	17417	18047	16156	10308	14822	18108	14484
2558007382	6409	7617	11311	11860	10957	9853	7750	8518	7056
2558007383	381	491	698	1029	994	660	581	776	609
2558007384	436	449	485	688	761	697	432	418	317
2558007385	420	298	528	404	563	548	549	375	320
2558007386	508	507	786	606	972	844	823	591	524
2558007387	134	144	244	202	278	259	281	217	177
2558007388	152	161	227	178	258	239	195	156	169
2558007389	182	186	210	278	282	323	273	235	207
2558007390	89	132	227	184	208	268	197	142	136
2558007391	350	364	487	644	670	666	624	427	401
2558007393	96	101	163	138	141	189	170	179	165
2558007394	190	185	201	221	279	245	212	172	128
2558007395	182	239	222	282	340	383	277	171	159
2558007396	246	241	391	281	314	380	357	246	208
2558007397	83	103	166	170	132	155	155	135	101
2558007398	730	749	1403	1189	1188	1556	1182	957	839
2558007399	134	134	214	203	284	209	135	176	140
2558007400	238	219	335	406	365	390	231	204	184
2558007401	357	450	520	414	403	558	314	133	109
2558007402	163	203	342	295	337	327	340	278	190
2558007403	4846	4036	7333	5405	7098	8907	8108	5470	5107
2558007405	52	57	68	55	61	102	79	53	63
2558007406	3	3	6	7	8	14	14	21	12
2558007407	20	23	25	37	53	36	43	32	20
2558007408	34	31	43	37	57	64	37	32	40
2558007409	38	60	96	69	131	103	64	103	86
2558007410	13	39	43	42	44	64	63	46	35
2558007411	8	5	26	30	27	26	30	41	28
2558007412	5	5	14	6	20	19	13	45	21
2558007413	117	141	263	203	599	317	223	379	327
2558007414	577	565	875	681	1558	597	433	728	689
2558007415	7040	6341	12709	7840	12085	11560	13519	12615	11009
2558007416	208	217	506	267	377	513	628	471	417
2558007417	1664	1588	2515	2045	2808	2817	3127	2512	2518
2558007418	135	114	221	164	214	238	288	287	270
2558007419	33	38	70	53	69	57	52	52	60
2558007420	191	204	425	299	435	307	606	795	743
2558007421	221	218	357	252	255	246	649	677	576
2558007422	220	189	347	266	369	320	388	369	331
2558007423	92	91	158	176	186	166	121	159	97
2558007424	633	650	915	937	1184	1064	796	762	666
2558007425	665	839	973	987	1532	1216	909	576	546
2558007426	69	92	139	104	131	145	163	221	137
2558007427	8784	9429	12166	11742	15359	10890	10357	12814	10390
2558007428	349	357	459	430	652	663	382	411	306
2558007429	1586	1519	1979	1857	2171	2415	1567	1390	1164
2558007430	122	149	319	203	205	294	236	195	207
2558007431	162	136	331	289	326	355	313	310	240
2558007432	667	767	972	914	1172	1123	949	747	739
2558007433	224	262	402	283	309	372	409	336	300
2558007434	885	1037	1726	1240	1389	1423	1437	1326	1138
2558007435	310	342	396	446	433	511	335	235	248
2558007436	357	369	518	478	628	626	464	475	395
2558007437	123	165	289	260	343	354	267	246	196
2558007438	25	26	61	70	61	70	44	56	42
2558007439	232	353	524	532	545	256	195	154	117
2558007440	120	118	198	154	180	164	146	113	96
2558007441	474	400	720	583	596	645	723	527	446
2558007442	113	112	209	160	190	204	225	154	116
2558007443	1098	1169	1849	1594	1757	1762	1594	1326	1105
2558007444	94	126	156	130	172	185	159	101	114
2558007445	199	209	263	293	342	298	308	278	201
2558007446	112	126	156	153	168	177	132	164	120
2558007447	41781	46095	56004	52320	69692	70809	57664	37652	33300
2558007448	13731	14082	17012	16494	21429	22105	18926	12260	10907
2558007449	162	174	232	171	200	131	186	184	180
2558007450	966	966	1383	1159	1220	1281	1156	1041	903
2558007451	291	298	423	292	318	352	340	285	243
2558007452	2549	2524	2874	3340	3920	3820	1948	1549	1450
2558007453	112	113	195	185	231	240	206	201	151
2558007454	6914	6261	9073	9158	9859	9924	8100	8077	6839
2558007455	816	945	1340	1498	1668	1817	1320	1125	1045
2558007456	1947	2039	3715	3054	2906	4302	3087	3703	2698
2558007457	493	530	821	702	778	971	757	782	603
2558007458	48	46	79	59	60	110	75	94	79
2558007459	10	12	17	24	20	24	11	18	7
2558007460	101	81	103	140	128	104	80	76	68
2558007461	556	639	887	1297	1397	2474	1573	845	815
2558007462	1519	1996	3368	3821	4041	10048	6004	2213	2653
2558007463	6315	4635	3746	7954	6039	9185	8730	3797	4970
2558007464	621	571	1020	952	943	1319	1109	625	675
2558007465	1055	975	1490	1337	1653	1529	1157	1019	827
2558007466	307	220	426	302	368	385	355	365	330
2558007467	2169	2240	2970	2774	3104	2904	2814	2540	2370
2558007468	60	75	107	101	88	111	88	84	76
2558007469	98	108	127	142	210	213	121	65	84
2558007470	229	213	380	299	309	367	383	393	290
2558007471	183	171	273	257	286	302	310	256	180
2558007472	597	590	1074	860	963	1163	1064	694	638
2558007473	810	934	1287	1199	1388	1449	1013	1001	864
2558007474	2555	3131	3165	3799	4906	4568	2535	2005	1796
2558007475	145	149	262	238	246	261	251	185	127
2558007476	345	392	509	364	399	383	306	340	305
2558007477	288	251	483	444	469	528	565	509	393
2558007478	1105	1138	1559	1750	1829	1730	1348	990	946
2558007479	2758	2998	3583	3853	4490	4749	2263	2055	2068
2558007480	3036	3418	3800	4412	5435	5605	2946	2027	2144
2558007481	290	304	332	386	379	294	222	274	221
2558007482	439	426	565	325	343	386	291	415	332
2558007483	158	182	307	229	295	318	288	189	192
2558007484	422	466	648	594	736	542	641	596	508
2558007485	181	179	294	244	296	294	306	292	216
2558007486	1370	1516	1978	1931	2075	1535	1578	1485	1281
2558007487	476	557	762	802	860	891	864	654	519
2558007488	801	774	1326	1077	1368	1287	1296	1287	1185
2558007489	47	43	77	68	91	83	57	80	57
2558007490	3	11	24	21	13	16	14	21	22
2558007491	91	77	156	98	111	112	67	69	72
2558007492	27	22	26	41	37	31	32	23	24
